Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
simpson-symprod,50,0.6,0.4,hybrid,10,0.66,0.0835,0.05488,0.02041,0.72887,0.06494
simpson-symprod,50,0.7,0.3,hybrid,10,0.7,0.06455,0.06229,0.01678,0.74004,0.05073
simpson-symprod,50,0.8,0.2,hybrid,10,0.705,0.05375,0.06335,0.01597,0.73056,0.06773
simpson-symprod,100,0.0,1.0,mse,10,0.605,0.03073,0.04129,0.02073,0.68474,0.07338
simpson-symprod,100,0.1,0.9,hybrid,10,0.6175,0.04572,0.04183,0.02073,0.67797,0.07627
simpson-symprod,100,0.2,0.8,hybrid,10,0.6525,0.05062,0.03978,0.02102,0.67341,0.09908
simpson-symprod,100,0.3,0.7,hybrid,10,0.665,0.05426,0.04355,0.02145,0.68914,0.07735
simpson-symprod,100,0.4,0.6,hybrid,10,0.63,0.06214,0.04241,0.02059,0.68617,0.09276
simpson-symprod,100,0.5,0.5,hybrid,10,0.6425,0.04091,0.0464,0.01905,0.71685,0.05401
simpson-symprod,100,0.6,0.4,hybrid,10,0.6425,0.03736,0.04672,0.01787,0.69406,0.06341
simpson-symprod,100,0.7,0.3,hybrid,10,0.6625,0.06796,0.04999,0.01736,0.72934,0.08795
simpson-symprod,100,0.8,0.2,hybrid,10,0.6525,0.05945,0.0605,0.01509,0.73351,0.07561
triangle-linear,50,0.0,1.0,mse,10,0.625,0.0928,0.04677,0.02212,1.89151,1.19836
triangle-linear,50,0.1,0.9,hybrid,10,0.58,0.0511,0.03856,0.00726,2.96556,4.6896
triangle-linear,50,0.2,0.8,hybrid,10,0.5775,0.07017,0.03727,0.00801,3.24362,4.95842
triangle-linear,50,0.3,0.7,hybrid,10,0.575,0.05652,0.03669,0.00759,2.8244,3.35575
triangle-linear,50,0.4,0.6,hybrid,10,0.6025,0.05945,0.03569,0.00707,2.24875,2.61565
triangle-linear,50,0.5,0.5,hybrid,10,0.5775,0.05329,0.03403,0.00867,1.60864,1.56565
triangle-linear,50,0.6,0.4,hybrid,10,0.59,0.07188,0.03521,0.009,1.97282,2.29434
triangle-linear,50,0.7,0.3,hybrid,10,0.595,0.05986,0.03544,0.00813,1.35059,1.35399
triangle-linear,50,0.8,0.2,hybrid,10,0.585,0.03764,0.03688,0.00815,1.16013,0.87748
triangle-linear,100,0.0,1.0,mse,10,0.595,0.04378,0.03473,0.00731,2.07812,1.94919
triangle-linear,100,0.1,0.9,hybrid,10,0.59,0.03375,0.03302,0.007,1.70018,1.8435
triangle-linear,100,0.2,0.8,hybrid,10,0.585,0.04743,0.03051,0.00879,1.26958,1.15186
triangle-linear,100,0.3,0.7,hybrid,10,0.5825,0.04257,0.02823,0.00784,1.13159,1.09414
triangle-linear,100,0.4,0.6,hybrid,10,0.58,0.05375,0.03031,0.00891,1.64763,2.63146
triangle-linear,100,0.5,0.5,hybrid,10,0.5975,0.05945,0.03278,0.00808,0.77346,0.3754
triangle-linear,100,0.6,0.4,hybrid,10,0.5925,0.07173,0.03206,0.00797,0.65075,0.19329
triangle-linear,100,0.7,0.3,hybrid,10,0.595,0.05986,0.03178,0.00918,0.75045,0.51207
triangle-linear,100,0.8,0.2,hybrid,10,0.585,0.05553,0.03166,0.00797,0.98275,1.21348
triangle-non-linear,50,0.0,1.0,mse,10,0.6975,0.0901,0.04738,0.02111,0.87653,0.63807
triangle-non-linear,50,0.1,0.9,hybrid,10,0.69,0.0835,0.04354,0.02083,0.68337,0.30609
triangle-non-linear,50,0.2,0.8,hybrid,10,0.695,0.10659,0.04451,0.02554,0.70149,0.33219
triangle-non-linear,50,0.3,0.7,hybrid,10,0.7075,0.08979,0.04632,0.02478,0.72412,0.34951
triangle-non-linear,50,0.4,0.6,hybrid,10,0.7175,0.1074,0.04451,0.02504,0.87007,0.7591
triangle-non-linear,50,0.5,0.5,hybrid,10,0.69,0.07565,0.04735,0.02353,1.04005,0.76671
triangle-non-linear,50,0.6,0.4,hybrid,10,0.7125,0.06264,0.05804,0.02113,1.13193,0.93999
triangle-non-linear,50,0.7,0.3,hybrid,10,0.705,0.06646,0.04865,0.0203,1.60812,1.57588
triangle-non-linear,50,0.8,0.2,hybrid,10,0.705,0.06952,0.05973,0.02426,1.18057,0.61024
triangle-non-linear,100,0.0,1.0,mse,10,0.6675,0.08584,0.02612,0.00943,0.41166,0.2098
triangle-non-linear,100,0.1,0.9,hybrid,10,0.685,0.06687,0.0272,0.01175,0.53924,0.60596
triangle-non-linear,100,0.2,0.8,hybrid,10,0.66,0.08097,0.02632,0.01297,0.54655,0.59542
triangle-non-linear,100,0.3,0.7,hybrid,10,0.67,0.0511,0.0244,0.01121,0.53479,0.59048
triangle-non-linear,100,0.4,0.6,hybrid,10,0.6725,0.06713,0.02966,0.01642,0.52386,0.44387
triangle-non-linear,100,0.5,0.5,hybrid,10,0.69,0.07472,0.02568,0.01913,0.45237,0.35408
triangle-non-linear,100,0.6,0.4,hybrid,10,0.6675,0.09358,0.02731,0.02136,0.32362,0.08689
triangle-non-linear,100,0.7,0.3,hybrid,10,0.6675,0.08901,0.03342,0.02702,0.38954,0.14705
triangle-non-linear,100,0.8,0.2,hybrid,10,0.6625,0.07383,0.04116,0.03102,0.50483,0.22963
