Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,1.90773,1.04146,0.0438,1.02562,0.84429,0.12626,,0.01014,0.05502,0.7
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.0,1.93813,1.04215,0.04574,1.01071,0.83546,0.12485,,0.00983,0.05228,0.65
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.0,2.29373,1.14313,0.05367,0.75477,0.68526,0.21203,,0.01363,0.04458,0.65
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.0,2.40377,1.13498,0.05912,0.78426,0.7023,0.21225,,0.01355,0.04984,0.725
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,2.03353,1.07173,0.05758,2.48894,1.31599,0.33021,,0.00961,0.10775,0.7
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,1.92141,1.04988,0.05198,1.96002,1.21808,0.24054,,0.01561,0.12832,0.825
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,1.76371,1.03333,0.04286,1.85091,1.18016,0.23988,,0.01558,0.12914,0.8
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.0,1.75165,1.02832,0.04223,1.77857,1.15381,0.24062,,0.01567,0.12948,0.8
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.0,1.7788,1.03256,0.04247,1.72645,1.13498,0.23852,,0.01555,0.12809,0.8
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.0,1.90773,1.04146,0.0438,1.67005,1.11391,0.23878,,0.01556,0.1243,0.8
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.0,1.93813,1.04215,0.04574,1.62866,1.09711,0.24433,,0.01625,0.12032,0.775
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.0,2.29373,1.14313,0.05367,0.94223,0.78232,0.31049,,0.01666,0.05344,0.625
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.0,2.40377,1.13498,0.05912,0.96346,0.79107,0.31017,,0.01684,0.05851,0.65
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.0,1.25343,0.91262,0.02532,1.78583,1.17314,0.14665,,0.011,0.06091,0.775
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.0,2.10228,0.99351,0.02716,1.28765,0.94493,0.11842,,0.00825,0.04978,0.7
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.0,6.04664,1.12592,0.02642,1.02161,0.83911,0.10718,,0.00829,0.04752,0.7
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.0,4.96317,1.10084,0.02697,0.93041,0.80495,0.09143,,0.00889,0.04767,0.675
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.0,2.75019,1.03142,0.02824,0.92687,0.80421,0.08882,,0.0092,0.04808,0.65
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.0,2.4636,1.01649,0.03118,0.94581,0.81502,0.08403,,0.0092,0.05057,0.675
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.0,2.17616,1.01214,0.03301,0.68184,0.67487,0.02515,,0.0027,0.05028,0.7
