Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
simpson-non-linear,50,0.4,0.6,hybrid,10,0.6325,0.05658,0.04532,0.00749,0.57202,0.16994
simpson-non-linear,50,0.5,0.5,hybrid,10,0.64,0.03764,0.04606,0.00671,0.58432,0.16724
simpson-non-linear,50,0.6,0.4,hybrid,10,0.6425,0.04417,0.04564,0.00671,0.63837,0.20129
simpson-non-linear,50,0.7,0.3,hybrid,10,0.64,0.04595,0.04389,0.0075,0.67463,0.19751
simpson-non-linear,50,0.8,0.2,hybrid,10,0.665,0.04743,0.04471,0.00862,0.70114,0.17797
simpson-non-linear,100,0.0,1.0,mse,10,0.64,0.07835,0.04333,0.00764,0.47897,0.10717
simpson-non-linear,100,0.1,0.9,hybrid,10,0.6525,0.07212,0.04277,0.0072,0.47905,0.10371
simpson-non-linear,100,0.2,0.8,hybrid,10,0.665,0.0835,0.04231,0.00714,0.51486,0.20561
simpson-non-linear,100,0.3,0.7,hybrid,10,0.6625,0.07383,0.04175,0.00693,0.49564,0.12139
simpson-non-linear,100,0.4,0.6,hybrid,10,0.67,0.0511,0.04225,0.00754,0.48887,0.12183
simpson-non-linear,100,0.5,0.5,hybrid,10,0.66,0.04595,0.04162,0.00708,0.48691,0.12165
simpson-non-linear,100,0.6,0.4,hybrid,10,0.6475,0.0381,0.04145,0.00784,0.45969,0.13756
simpson-non-linear,100,0.7,0.3,hybrid,10,0.66,0.04282,0.0408,0.00686,0.51303,0.13862
simpson-non-linear,100,0.8,0.2,hybrid,10,0.6475,0.03426,0.0428,0.00342,0.56906,0.13259
simpson-symprod,50,0.0,1.0,mse,10,0.7025,0.08032,0.04349,0.00935,0.66113,0.07026
simpson-symprod,50,0.1,0.9,hybrid,10,0.68,0.08644,0.04451,0.01301,0.65728,0.09914
simpson-symprod,50,0.2,0.8,hybrid,10,0.6975,0.07678,0.04481,0.01347,0.64888,0.07083
simpson-symprod,50,0.3,0.7,hybrid,10,0.6875,0.07569,0.0453,0.01208,0.68719,0.19327
simpson-symprod,50,0.4,0.6,hybrid,10,0.6825,0.08254,0.04606,0.0128,0.65854,0.06492
simpson-symprod,50,0.5,0.5,hybrid,10,0.7075,0.06352,0.04946,0.01126,0.63961,0.0287
simpson-symprod,50,0.6,0.4,hybrid,10,0.71,0.07565,0.05116,0.01053,0.64402,0.02737
simpson-symprod,50,0.7,0.3,hybrid,10,0.7425,0.07076,0.05291,0.01178,0.65472,0.05171
simpson-symprod,50,0.8,0.2,hybrid,10,0.7475,0.06175,0.05169,0.00778,0.65656,0.0481
simpson-symprod,100,0.0,1.0,mse,10,0.665,0.10488,0.04549,0.01439,0.63948,0.05453
simpson-symprod,100,0.1,0.9,hybrid,10,0.675,0.08416,0.04514,0.01338,0.62721,0.03807
simpson-symprod,100,0.2,0.8,hybrid,10,0.68,0.10659,0.04617,0.01378,0.61702,0.03842
simpson-symprod,100,0.3,0.7,hybrid,10,0.7125,0.09446,0.04661,0.01339,0.61973,0.03523
simpson-symprod,100,0.4,0.6,hybrid,10,0.68,0.11414,0.04632,0.01195,0.61165,0.04439
