Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
simpson-symprod,100,0.3,0.7,hybrid,10,0.5725,0.0478,0.01385,0.00406,0.70628,0.03103
simpson-symprod,100,0.4,0.6,hybrid,10,0.555,0.04048,0.0138,0.0043,0.7095,0.03128
simpson-symprod,100,0.5,0.5,hybrid,10,0.58,0.05749,0.01384,0.00397,0.71549,0.0317
simpson-symprod,100,0.6,0.4,hybrid,10,0.585,0.05164,0.01331,0.00398,0.71467,0.02516
simpson-symprod,100,0.7,0.3,hybrid,10,0.5825,0.04257,0.0142,0.00592,0.73207,0.03347
simpson-symprod,100,0.8,0.2,hybrid,10,0.61,0.07472,0.01452,0.00359,0.76368,0.04039
triangle-linear,50,0.0,1.0,mse,10,0.67,0.07051,0.02722,0.0162,0.69102,0.25925
triangle-linear,50,0.1,0.9,hybrid,10,0.685,0.07746,0.02109,0.01054,0.73575,0.37358
triangle-linear,50,0.2,0.8,hybrid,10,0.655,0.07888,0.01856,0.00963,0.66178,0.27182
triangle-linear,50,0.3,0.7,hybrid,10,0.665,0.08756,0.01843,0.00995,0.88614,0.82003
triangle-linear,50,0.4,0.6,hybrid,10,0.6925,0.07822,0.01884,0.00891,0.65378,0.18753
triangle-linear,50,0.5,0.5,hybrid,10,0.7,0.08079,0.01912,0.01085,0.67791,0.18972
triangle-linear,50,0.6,0.4,hybrid,10,0.6875,0.11741,0.02048,0.01242,2.18081,4.45473
triangle-linear,50,0.7,0.3,hybrid,10,0.7,0.08975,0.02277,0.01286,0.95259,1.04717
triangle-linear,50,0.8,0.2,hybrid,10,0.715,0.09874,0.02227,0.01056,2.61727,6.3402
triangle-linear,100,0.0,1.0,mse,10,0.6175,0.03344,0.01268,0.00229,0.66948,0.25606
triangle-linear,100,0.1,0.9,hybrid,10,0.6275,0.08453,0.01167,0.00202,0.6448,0.20329
triangle-linear,100,0.2,0.8,hybrid,10,0.605,0.07619,0.01172,0.00158,0.66618,0.24476
triangle-linear,100,0.3,0.7,hybrid,10,0.605,0.06101,0.01107,0.00184,0.93201,1.21486
triangle-linear,100,0.4,0.6,hybrid,10,0.595,0.05986,0.01047,0.00281,0.70244,0.53834
triangle-linear,100,0.5,0.5,hybrid,10,0.64,0.06791,0.01121,0.00359,0.51603,0.06385
triangle-linear,100,0.6,0.4,hybrid,10,0.6175,0.05277,0.01045,0.0032,0.53501,0.08631
triangle-linear,100,0.7,0.3,hybrid,10,0.63,0.078,0.01073,0.00277,0.59831,0.29578
triangle-linear,100,0.8,0.2,hybrid,10,0.6675,0.03736,0.01197,0.00284,0.58407,0.22062
triangle-non-linear,50,0.0,1.0,mse,10,0.65,0.08079,0.02763,0.00926,0.62941,0.36061
triangle-non-linear,50,0.1,0.9,hybrid,10,0.6675,0.07642,0.02832,0.0111,0.64195,0.3898
triangle-non-linear,50,0.2,0.8,hybrid,10,0.6675,0.06877,0.02764,0.01205,0.67894,0.42593
triangle-non-linear,50,0.3,0.7,hybrid,10,0.6925,0.08823,0.02817,0.01331,0.57046,0.18303
triangle-non-linear,50,0.4,0.6,hybrid,10,0.6975,0.08287,0.02853,0.0132,0.58705,0.17526
triangle-non-linear,50,0.5,0.5,hybrid,10,0.71,0.06583,0.02654,0.01114,0.74127,0.23738
triangle-non-linear,50,0.6,0.4,hybrid,10,0.7125,0.027,0.03117,0.01096,0.74296,0.22017
triangle-non-linear,50,0.7,0.3,hybrid,10,0.6725,0.07402,0.02679,0.01085,0.78337,0.26709
triangle-non-linear,50,0.8,0.2,hybrid,10,0.71,0.04888,0.02838,0.00948,0.78525,0.24124
triangle-non-linear,100,0.0,1.0,mse,10,0.655,0.04684,0.01707,0.00401,0.2898,0.04601
triangle-non-linear,100,0.1,0.9,hybrid,10,0.64,0.06032,0.0165,0.00462,0.31082,0.0669
triangle-non-linear,100,0.2,0.8,hybrid,10,0.6425,0.07076,0.01666,0.00544,0.32959,0.08994
triangle-non-linear,100,0.3,0.7,hybrid,10,0.6225,0.06816,0.01537,0.00336,0.2959,0.04502
triangle-non-linear,100,0.4,0.6,hybrid,10,0.645,0.05503,0.01542,0.00371,0.29441,0.06447
triangle-non-linear,100,0.5,0.5,hybrid,10,0.6675,0.07365,0.01579,0.00359,0.33393,0.07778
triangle-non-linear,100,0.6,0.4,hybrid,10,0.64,0.07565,0.01593,0.00423,0.31593,0.07061
triangle-non-linear,100,0.7,0.3,hybrid,10,0.6575,0.07822,0.01617,0.00367,0.35373,0.10792
triangle-non-linear,100,0.8,0.2,hybrid,10,0.6575,0.07076,0.01718,0.00413,0.40601,0.15125
