Dataset,Experiment,Seed,Loss,Conf,Alpha,Beta,N,RF Acc,MMD,MAE x3
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.6,0.0234,0.28172
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.6,0.00895,0.25967
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.725,0.02475,0.3157
3-chain-non-linear,5,46,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.5,0.01774,0.24048
3-chain-non-linear,6,47,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.55,0.01515,0.30377
3-chain-non-linear,7,48,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.55,0.00633,0.22275
3-chain-non-linear,8,49,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.575,0.01489,0.33121
3-chain-non-linear,9,50,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.65,0.0126,0.29997
3-chain-non-linear,10,51,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.6,0.01228,0.22599
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.675,0.01866,0.27896
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.675,0.02284,0.29233
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.65,0.00999,0.34942
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.675,0.02572,0.33448
3-chain-non-linear,5,46,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.525,0.01546,0.23777
3-chain-non-linear,6,47,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.625,0.03377,0.30065
3-chain-non-linear,7,48,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.525,0.00551,0.22659
3-chain-non-linear,8,49,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.525,0.01752,0.31925
3-chain-non-linear,9,50,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.65,0.01233,0.29852
3-chain-non-linear,10,51,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.575,0.01142,0.22649
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.65,0.02042,0.28816
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.65,0.02293,0.29669
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.65,0.01134,0.36674
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.7,0.02507,0.31082
3-chain-non-linear,5,46,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.575,0.01441,0.23812
