Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
fork-non-linear,100,0.1,0.9,hybrid,10,0.8775,0.08118,0.13082,0.05456,0.44311,0.14537
fork-non-linear,100,0.2,0.8,hybrid,10,0.855,0.08062,0.12393,0.05703,0.45707,0.15705
fork-non-linear,100,0.3,0.7,hybrid,10,0.8425,0.09358,0.12669,0.05547,0.45578,0.1507
fork-non-linear,100,0.4,0.6,hybrid,10,0.8825,0.06352,0.14008,0.05071,0.50898,0.18701
fork-non-linear,100,0.5,0.5,hybrid,10,0.8775,0.07308,0.14035,0.05886,0.48998,0.17459
fork-non-linear,100,0.6,0.4,hybrid,10,0.87,0.05869,0.14555,0.06979,0.51685,0.17202
fork-non-linear,100,0.7,0.3,hybrid,10,0.8825,0.06129,0.13361,0.05843,0.51121,0.19663
fork-non-linear,100,0.8,0.2,hybrid,10,0.8675,0.06877,0.13237,0.05933,0.52932,0.22768
simpson-non-linear,50,0.0,1.0,mse,10,0.6875,0.05303,0.06966,0.0215,0.75607,0.2253
simpson-non-linear,50,0.1,0.9,hybrid,10,0.7075,0.03344,0.06481,0.01105,0.73864,0.2044
simpson-non-linear,50,0.2,0.8,hybrid,10,0.71,0.03944,0.06853,0.01934,0.73866,0.19029
simpson-non-linear,50,0.3,0.7,hybrid,10,0.705,0.04684,0.06229,0.00924,0.71838,0.20286
simpson-non-linear,50,0.4,0.6,hybrid,10,0.7,0.0527,0.0585,0.00981,0.67967,0.22011
simpson-non-linear,50,0.5,0.5,hybrid,10,0.7025,0.05945,0.05911,0.01161,0.69926,0.23808
simpson-non-linear,50,0.6,0.4,hybrid,10,0.705,0.04534,0.06226,0.01162,0.75118,0.2099
simpson-non-linear,50,0.7,0.3,hybrid,10,0.6925,0.04257,0.06531,0.01031,0.81006,0.1429
simpson-non-linear,50,0.8,0.2,hybrid,10,0.7,0.0441,0.0605,0.01194,0.82261,0.23276
simpson-non-linear,100,0.0,1.0,mse,10,0.655,0.0511,0.05525,0.01104,0.55147,0.14362
simpson-non-linear,100,0.1,0.9,hybrid,10,0.65,0.05774,0.0538,0.00971,0.55977,0.15864
simpson-non-linear,100,0.2,0.8,hybrid,10,0.6725,0.04923,0.05195,0.01256,0.57013,0.18526
simpson-non-linear,100,0.3,0.7,hybrid,10,0.6775,0.04632,0.05409,0.01187,0.59344,0.14243
simpson-non-linear,100,0.4,0.6,hybrid,10,0.6725,0.05584,0.05374,0.00929,0.57782,0.15405
simpson-non-linear,100,0.5,0.5,hybrid,10,0.655,0.06952,0.05143,0.00932,0.57694,0.17538
simpson-non-linear,100,0.6,0.4,hybrid,10,0.655,0.06325,0.05139,0.01208,0.72521,0.52769
